Modelo;Cambio de Pantalla;Codigo QFR01;Costo;Precio Final;Lista Mayorista 1;CMV;Cambio de Placa Principal;Código QMP0;Costo;Precio Final;Lista Mayorista 1;Margen;Cambio de Baterí;Código QBA0;Costo;Precio Final;Lista Mayorista 1;Margen;Reparacion de Cámara Principa;Códig;Costo;Precio Final;Lista Mayorista 1;Margen;Cambio de Tapa;Código QBC0;Costo;Precio Final;Lista Mayorista 1;Margen;Sub Placa;Código QIF01/QME0;Costo;Precio Final;Lista Mayorista 1;Margen;Pegamento;Código QRT0;Costo;Precio Final;Speaker;Código QSP0;Costo;Precio Final;Lista Mayorista 1;Margen;Bateria QBA02;Código ;Costo;Precio Final;Pegamento;Código QRT0;Costo;Precio Final;Tapa QFR02 QLC01;Código ;Costo;Precio Final;Lista Mayorista 1;Lista Mayorista 2;Pantalla;Código QFR0;Costo;Precio Final;Lista Mayorista 1;Lista Mayorista 2;IMAGEN
Galaxy S21 SM-G991B; $286.945,00;GH82-27255A;141,12; $148.296,01; $258.250,50;52,76%; $283.200,00;GH82-24543A;192,47; $202.251,92; $254.880,00;72,90%; $39.908,56;GH82-24537A;18,61; $19.553,44; $35.917,71;50,02%; $130.100,00;GH96-14180A;72,80; $76.503,75; $117.090,00;60,03%; $39.600,00;GH97-26165A;25,11; $26.382,91; $35.640,00;68,01%; $40.700,00;GH96-14033A;18,47; $19.404,76; $36.630,00;48,67%; $1.400,00;GH82-30242A;1,35; $1.418,65; $15.700,00;GH96-14015A;7,49; $7.870,87; $14.130,00;51,18%;;;;;;;;;;;;;;;;;; ;;;https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS_FjOvm0dfqmJBbG-InVOgiiQzE7BGw5DI9AcwElFwxMX3AlqCCspUte7giRTecBNsubc&usqp=CAU
A03 SM-A035M; $118.548,00;GH81-21625A;56,62; $59.499,15; $106.693,20;51,24%; $126.900,00;GH81-21631A;86,24; $90.621,87; $114.210,00;72,90%; $49.244,28;GH81-21636A;22,96; $24.127,53; $44.319,85;50,02%; $31.300,00;GH81-21656A;17,55; $18.438,22; $28.170,00;60,13%; $10.900,00;GH81-21791A;6,93; $7.282,42; $9.810,00;68,20%; $25.400,00;GH81-21637A;11,49; $12.074,48; $22.860,00;48,53%; $0,00;-;0,00; $0,00; $7.900,00;GH81-21649A;3,77; $3.961,71; $7.110,00;51,19%;;;;;;;;;;;;;;;;;; ;;;https://offlinetecnologia.com.ar/3891-large_default/8806092885561.jpg
A03 Core SM-A032M; $103.575,00;GH81-21711A;47,19; $49.589,63; $93.217,50;48,88%; $83.200,00;GH81-21709A;56,54; $59.419,29; $74.880,00;72,90%; $45.130,58;GH81-21710A;21,04; $22.111,99; $40.617,52;50,02%; $14.300,00;GH81-21714A;6,81; $7.156,29; $12.870,00;51,09%; $6.200,00;GH81-21892A;3,92; $4.115,99; $5.580,00;67,77%; $14.300,00;GH81-21712A;6,50; $6.825,28; $12.870,00;48,72%; $0,00;-;0,00; $0,00; $2.900,00;GH81-21716A;1,37; $1.439,67; $2.610,00;50,68%;;;;;;;;;;;;;;;;;; ;;;https://mauricomputacion.com.ar/images/productos/galerias/24212/1007_1701244964.webp
A04 SM-A045M; $77.142,00;GH81-22731A;36,28; $38.127,39; $69.427,80;50,45%; $176.000,00;GH81-22730A;119,62; $125.701,46; $158.400,00;72,91%; $44.349,88;GH81-22548A;20,68; $21.729,48; $39.914,89;50,02%; $32.100,00;GH81-22691A;15,26; $16.033,98; $28.890,00;50,99%; $11.100,00;GH81-22687A;7,05; $7.408,51; $9.990,00;68,13%; $17.400,00;GH81-22686A;7,89; $8.289,53; $15.660,00;48,63%; $0,00;-;0,00; $0,00; $2.200,00;GH81-22698A;1,05; $1.103,39; $1.980,00;51,20%;;;;;;;;;;;;;;;;;; ;;;https://img.corotos.com.do/variants/sm2ysn4p03rbfd75r9e1r6nkb5em/ce679ccb626c0538ddf96ae31cb4fe352a5677a9ff9b875ffd4f22fc9348637b
A04e SM-A042M; $110.368,00;GH81-23088A;41,64; $43.761,54; $99.331,20;40,48%; $135.900,00;GH81-23320A;92,36; $97.055,81; $122.310,00;72,90%; $46.511,82;GH81-23162A;21,69; $22.788,74; $41.860,64;50,02%; $17.300,00;GH81-23050A;8,23; $8.647,24; $15.570,00;51,02%; $16.200,00;GH81-23097A;10,25; $10.770,39; $14.580,00;67,87%; $21.700,00;GH81-23048A;9,83; $10.325,44; $19.530,00;48,57%; $0,00;-;0,00; $0,00; $0,00;-;0,00; $0,00; $0,00;#¡DIV/0;;;;;;;;;;;;;;;;;; ;;;https://multipoint.com.ar/Image/0/750_750-179.jpg
A04s SM-A047M; $103.575,00;GH82-29805A;43,42; $45.630,17; $93.217,50;44,97%; $142.300,00;GH82-30087A;96,75; $101.671,46; $128.070,00;72,94%; $48.793,87;GH82-29803A;22,75; $23.906,85; $43.914,49;50,02%; $25.100,00;GH96-15467A;11,94; $12.550,10; $22.590,00;51,04%; $19.000,00;GH82-30362A;12,03; $12.642,17; $17.100,00;67,92%; $19.500,00;GH96-15280A;8,82; $9.269,34; $17.550,00;48,53%; $0,00;-;0,00; $0,00; $0,00;-;0,00; $0,00; $0,00;#¡DIV/0;;;;;;;;;;;;;;;;;; ;;;https://e39a9f00db6c5bc097f9-75bc5dce1d64f93372e7c97ed35869cb.ssl.cf1.rackcdn.com/43006526_1-wmtRigaa.jpg
A13 SM-A135M; $125.665,00;GH82-28508A;49,94; $52.484,25; $113.098,50;42,63%; $131.600,00;GH82-28641A;89,44; $93.991,42; $118.440,00;72,91%; $46.211,55;GH82-28509A;21,55; $22.641,62; $41.590,40;50,02%; $41.800,00;GH96-14892A;19,89; $20.905,62; $37.620,00;51,05%; $16.500,00;GH82-28532A;10,44; $10.969,85; $14.850,00;67,87%; $22.300,00;GH96-15062A;10,10; $10.616,97; $20.070,00;48,60%; $0,00;-;0,00; $0,00; $6.500,00;3001-002871;3,07; $3.226,11; $5.850,00;50,67%;;;;;;;;;;;;;;;;;; ;;;https://s3-sa-east-1.amazonaws.com/saasargentina/NCshkgB2x9kyeJGXbxrt/imagen
A22 5G SM-A226; $109.737,00;GH81-21438A;57,57; $60.500,90; $98.763,30;56,28%; $131.600,00;GH81-22312A;89,44; $93.991,42; $118.440,00;72,91%; $40.236,18;GH81-20698A;18,76; $19.713,95; $36.212,56;50,02%; $42.400,00;GH81-20993A;20,19; $21.214,57; $38.160,00;51,08%; $16.400,00;GH81-22281A;10,38; $10.908,48; $14.760,00;67,90%; $21.300,00;GH81-20699A;9,65; $10.140,29; $19.170,00;48,60%; $0,00;-;0,00; $0,00; $11.200,00;GH81-20726A;5,35; $5.622,05; $10.080,00;51,24%;;;;;;;;;;;;;;;;;; ;;;https://globotec.com.ar/wp-content/uploads/2023/04/samsung-a22-5g.jpg
A23 SM-A235; $126.872,00;GH82-28563A;50,37; $52.930,13; $114.184,80;42,59%; $145.500,00;GH82-28763A;98,88; $103.909,35; $130.950,00;72,90%; $50.704,34;GH82-28564A;23,64; $24.842,89; $45.633,91;50,02%; $58.000,00;GH96-15109A;27,59; $28.997,90; $52.200,00;51,04%; $12.100,00;"	GH97-27485A";7,70; $8.087,36; $10.890,00;68,23%; $23.400,00;GH96-15474A;10,61; $11.153,93; $21.060,00;48,66%; $2.200,00;GH81-22229A;2,09; $2.196,28; $7.500,00;3001-002865;3,57; $3.751,54; $6.750,00;51,06%;;;;;;;;;;;;;;;;;; ;;;https://d2izjnmtylvtfh.cloudfront.net/30266634-large_default/celular-liberado-samsung-a23-negro-128-gb.jpg
Galaxy A01 SM-A015M; $89.917,00;GH81-18209A;23,92; $25.133,48; $80.925,30;28,53%; $76.200,00;GH81-18543A;51,79; $54.428,59; $68.580,00;72,92%; $43.449,07;GH81-18183A;20,26; $21.288,13; $39.104,16;50,02%; $16.400,00;GH81-18219A;7,80; $8.196,21; $14.760,00;51,02%; $15.500,00;GH81-18515A;9,83; $10.325,46; $13.950,00;68,00%; $6.400,00;GH81-18208A;2,89; $3.038,74; $5.760,00;48,47%; $0,00;-;0,00; $0,00; $4.600,00;GH81-18211A;2,18; $2.290,85; $4.140,00;50,84%;;;;;;;;;;;;;;;;;; ;;;https://i2.wp.com/syscom.com.pe/wp-content/uploads/2020/07/samsung-a01-rojo.jpg?fit=1000%2C1000&ssl=1
Galaxy A02 SM-A022M; $89.322,00;"	GH82-25249A";35,90; $37.722,83; $80.389,80;43,11%; $52.900,00;GH82-25521A;35,98; $37.805,92; $47.610,00;72,96%; $31.651,89;GH82-22989A;14,76; $15.508,03; $28.486,70;50,02%; $20.700,00;GH96-14219A;9,84; $10.342,47; $18.630,00;51,00%; $6.400,00;GH98-46439A;4,04; $4.244,60; $5.760,00;67,70%; $6.400,00;GH59-15450A;2,91; $3.054,81; $5.760,00;48,73%; $0,00;-;0,00; $0,00; $9.000,00;"	3001-002856";4,26; $4.476,62; $8.100,00;50,78%;;;;;;;;;;;;;;;;;; ;;;https://i0.wp.com/ngtecnologia.com/wp-content/uploads/2021/08/Celular-Samsung-Galaxy-A02-32GB-Negro-3023861_a.jpg?fit=1000%2C1000&ssl=1
Galaxy A02s SM-A025M; $92.223,00;GH81-20118A;40,17; $42.208,93; $83.000,70;46,72%; $93.700,00;GH81-20117A;63,69; $66.926,30; $84.330,00;72,91%; $42.758,45;GH81-20119A;19,94; $20.949,75; $38.482,60;50,02%; $24.900,00;GH81-20132A;11,86; $12.458,04; $22.410,00;51,07%; $13.000,00;"	GH81-20260A";8,27; $8.693,91; $11.700,00;68,27%; $11.900,00;GH81-20127A;5,40; $5.674,59; $10.710,00;48,68%; $0,00;-;0,00; $0,00; $15.300,00;GH81-20148A;7,27; $7.639,68; $13.770,00;50,97%;;;;;;;;;;;;;;;;;; ;;;https://m.media-amazon.com/images/I/8122S4yAzwL._AC_SY445_.jpg
Galaxy A10 SM-A105M; $115.106,00;"	GH82-19367A";46,03; $48.369,33; $103.595,40;42,90%; $69.600,00;GH82-19516A;47,29; $49.698,13; $62.640,00;72,89%; $43.989,55;GH82-18689A;20,51; $21.552,94; $39.590,60;50,02%; $33.100,00;GH96-12573A;15,76; $16.559,93; $29.790,00;51,07%; $7.300,00;GH82-19756A;4,65; $4.887,72; $6.570,00;68,35%; $16.200,00;"	GH96-12549A";9,09; $9.549,28; $14.580,00;60,17%; $0,00;-;0,00; $0,00; $9.000,00;"	3001-002856";4,26; $4.476,62; $8.100,00;50,78%;;;;;;;;;;;;;;;;;; ;;;https://d2r9epyceweg5n.cloudfront.net/stores/001/150/952/products/a101-9dc26b115b73ea029916081422461253-1024-1024.jpg
Galaxy A10S SM-A107M; $120.782,00;GH81-17482A;48,01; $50.454,39; $108.703,80;42,64%; $83.700,00;GH81-17555A;56,88; $59.771,11; $75.330,00;72,90%; $45.851,23;GH81-18936A;21,38; $22.465,08; $41.266,11;50,02%; $31.900,00;GH81-18536A;15,19; $15.958,84; $28.710,00;51,07%; $12.400,00;GH81-17841A;7,89; $8.289,55; $11.160,00;68,24%; $8.200,00;"GH81-17484A	";3,70; $3.890,90; $7.380,00;48,44%; $0,00;-;0,00; $0,00; $5.100,00;GH81-17502A;2,42; $2.543,06; $4.590,00;50,90%;;;;;;;;;;;;;;;;;; ;;;https://falabella.scene7.com/is/image/FalabellaCO/5114443_1?wid=800&hei=800&qlt=70
Galaxy A11 SM-A115M; $115.305,00;GH81-18760A;48,52; $50.985,06; $103.774,50;45,14%; $81.300,00;GH81-18796A;55,23; $58.038,05; $73.170,00;72,87%; $35.902,53;GH81-18735A;16,74; $17.590,66; $32.312,28;50,02%; $27.400,00;GH81-18979A;13,03; $13.696,68; $24.660,00;51,03%; $8.900,00;GH81-18981A;5,64; $5.926,81; $8.010,00;67,98%; $8.800,00;GH81-18797A;2,78; $2.926,23; $7.920,00;33,95%; $0,00;-;0,00; $0,00; $13.100,00;GH81-18770A;6,21; $6.525,78; $11.790,00;50,85%;;;;;;;;;;;;;;;;;; ;;;https://geotechbonanza.com/assets/uploads/9de07e031469bcdc993e866b31d6c13d.jpg
Galaxy A12 SM-A125M; $96.584,00;GH82-24490A;40,98; $43.060,77; $86.925,60;45,51%; $115.700,00;GH82-24503A;78,66; $82.657,00; $104.130,00;72,93%; $31.651,89;GH82-22989A;14,76; $15.508,03; $28.486,70;50,02%; $10.000,00;GH96-14023A;4,77; $5.016,34; $9.000,00;51,21%; $12.200,00;GH82-24506A;7,77; $8.165,13; $10.980,00;68,32%; $9.100,00;GH96-14044A;4,12; $4.325,01; $8.190,00;48,52%; $0,00;-;0,00; $0,00; $9.000,00;3001-002856;4,26; $4.476,62; $8.100,00;50,78%;;;;;;;;;;;;;;;;;; ;;;https://www.tiendaamiga.com.bo/media/catalog/product/cache/deb88dadd509903c96aaa309d3e790dc/e/0/e06570.jpg
Galaxy A14 SM-A145M; $96.313,00;GH82-31185A;36,89; $38.770,33; $86.681,70;41,09%; $97.600,00;GH82-31303A;66,31; $69.681,10; $87.840,00;72,88%; $45.100,55;"	GH82-30659A";21,03; $22.097,28; $40.590,50;50,02%; $25.100,00;GH96-15467A;11,94; $12.550,10; $22.590,00;51,04%; $10.500,00;GH82-30412A;6,68; $7.014,45; $9.450,00;68,20%; $15.500,00;GH96-15779A;7,00; $7.361,20; $13.950,00;48,48%; $0,00;-;0,00; $0,00; $6.500,00;3001-002871;3,07; $3.226,11; $5.850,00;50,67%;;;;;;;;;;;;;;;;;; ;;;https://images.start.com.ar/SM-A145MZSEARO-3.jpg
Galaxy A20 SM-A205G; $123.161,00;"	GH82-19571A";52,25; $54.910,79; $110.844,90;45,51%; $79.800,00;GH82-19576A;54,27; $57.034,70; $71.820,00;72,96%; $42.878,56;GH82-19269A;19,99; $21.008,60; $38.590,70;50,02%; $42.300,00;GH96-12555A;20,10; $21.126,30; $38.070,00;50,98%; $8.100,00;GH82-19741B;5,12; $5.375,11; $7.290,00;67,74%; $22.100,00;"GH96-12538A	";10,03; $10.540,23; $19.890,00;48,69%; $2.900,00;GH81-16718A;2,78; $2.921,36; $9.000,00;3001-002856;4,26; $4.476,62; $8.100,00;50,78%;;;;;;;;;;;;;;;;;; ;;;https://http2.mlstatic.com/D_NQ_NP_891820-MLA32255478494_092019-O.jpg
Galaxy A20S SM-A207M; $122.314,00;GH81-17774A;51,47; $54.089,85; $110.082,60;45,14%; $116.600,00;GH81-17784A;79,23; $83.262,03; $104.940,00;72,90%; $45.851,23;GH81-18936A;21,38; $22.465,08; $41.266,11;50,02%; $13.300,00;"	GH81-17793A";6,32; $6.636,12; $11.970,00;50,93%; $34.400,00;GH81-17991A;21,84; $22.950,63; $30.960,00;68,11%; $18.200,00;GH81-18341A;8,24; $8.662,79; $16.380,00;48,59%; $1.500,00;GH81-17813A;1,47; $1.544,75; $5.600,00;GH81-17798A;2,67; $2.805,77; $5.040,00;51,15%;;;;;;;;;;;;;;;;;; ;;;https://puntomovil.com.mx/wp-content/uploads/2021/04/Samsung-Galaxy-A20s-Negro-1600.png
Galaxy A30 SM-A305G; $115.629,00;GH82-19753A;58,21; $61.165,43; $104.066,10;54,00%; $90.300,00;GH82-19439A;61,36; $64.475,14; $81.270,00;72,89%; $42.878,56;GH82-19269A;19,99; $21.008,60; $38.590,70;50,02%; $51.000,00;"	GH96-12465A";24,25; $25.482,12; $45.900,00;51,01%; $14.900,00;GH82-18784B;9,43; $9.907,03; $13.410,00;67,87%; $20.300,00;GH96-12435A;9,21; $9.673,73; $18.270,00;48,65%; $0,00;-;0,00; $0,00; $9.000,00;"	3001-002856";4,26; $4.476,62; $8.100,00;50,78%;;;;;;;;;;;;;;;;;; ;;;https://http2.mlstatic.com/D_NQ_NP_757343-MLA31838701605_082019-O.jpg
Galaxy A30S SM-A307G; $131.593,00;GH82-21189A;57,44; $60.357,54; $118.433,70;46,82%; $95.900,00;GH82-21186A;65,18; $68.496,79; $86.310,00;72,91%; $46.121,47;"GH82-21183A	";21,50; $22.597,49; $41.509,32;50,02%; $78.200,00;GH96-12913A;37,20; $39.091,74; $70.380,00;51,03%; $13.400,00;"GH82-21168A	";8,50; $8.927,19; $12.060,00;68,01%; $21.600,00;GH96-12857A;9,77; $10.264,71; $19.440,00;48,51%; $0,00;-;0,00; $0,00; $9.000,00;"	3001-002856";4,26; $4.476,62; $8.100,00;50,78%;;;;;;;;;;;;;;;;;; ;;;https://www.allsolution.ar/datos/uploads/mod_catalogo/28436/samsung-a30s1-2ac747def6cb61112915797927731013-640-0-63a611d8b3f03_thumbnail.png?t=1671827929
